emotion,mean,std_dev
admiration,0.69,0.08
amusement,0.50,0.05
anger,0.07,0.01
annoyance,0.11,0.02
anticipation,0.80,0.06
approval,0.82,0.03
caring,0.15,0.06
confusion,0.42,0.06
curiosity,0.55,0.06
desire,0.07,0.02
disappointment,0.14,0.02
disapproval,0.08,0.01
disgust,0.11,0.02
embarrassment,0.80,0.04
excitement,0.08,0.01
fear,0.75,0.08
gratitude,0.08,0.01
grief,0.94,0.01
joy,0.66,0.05
love,0.09,0.01
nervousness,0.84,0.03
optimism,0.74,0.05
pride,0.74,0.04
realization,0.67,0.03
relief,0.14,0.01
remorse,0.05,0.01
sadness,0.45,0.07
surprise,0.45,0.03
